,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species,subtree,subtree_rank
KC153059,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Pterioida_44598,Pinnidae_44599,Atrina_49197,Atrina pectinata_49198,,phylum
GQ527172,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Mytilus_6548,Mytilus californianus_6549,,phylum
KC848654,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Solenaia_165459,Solenaia carinata_1903492,,phylum
MH198158,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Buccinidae_37796,Buccinulum_128468,Buccinulum fuscozonatum_2175165,,phylum
KY679831,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Architaenioglossa_75116,Viviparidae_54976,Cipangopaludina_57623,Cipangopaludina chinensis_527796,,phylum
MW550289,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Muricidae_39476,Tenguella_2358223,Tenguella musiva_2358224,,phylum
MT372822,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Geoemydidae_328320,Sacalia_74933,Sacalia bealei_204942,,subphylum
KT381195,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Lepidodesma_165453,Lepidodesma languilati_1798241,,phylum
MW478842,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Sepiida_551287,Sepiolidae_34531,Sepietta_34534,Sepietta oweniana_70319,,phylum
MN998653,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacentridae_30863,Acanthochromis_80965,Acanthochromis polyacanthus_80966,,class
KM657954,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Nodularia_1830174,Nodularia douglasiae_1830228,,phylum
MT075611,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Nassariidae_6483,Nassarius_6484,Nassarius gregarius_2928247,,phylum
KY857558,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Rheodytes_44527,Rheodytes leukops_44528,,subphylum
MW118059,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Stylommatophora_6527,Clausiliidae_27818,Euphaedusa_317912,Euphaedusa planostriata_2798995,,phylum
MT862401,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,,Planorbidae_6524,Planorbis_55738,Planorbis planorbis_191805,,phylum
MT727015,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Crocodylia_1294634,Crocodylidae_8493,Crocodylus_8500,Crocodylus siamensis_68455,,subphylum
KY196442,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Architaenioglossa_75116,Viviparidae_54976,Margarya_888542,Margarya melanioides_888545,,phylum
MT554045,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Crocodylia_1294634,Crocodylidae_8493,Crocodylus_8500,Crocodylus mindorensis_184236,,subphylum
KY864973,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus byssinus_1519806,,phylum
KT207824,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Trochida_2315720,Turbinidae_63671,Bolma_216126,Bolma rugosa_335776,,phylum
KP091889,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Arcoida_6552,Cucullaeidae_142555,Cucullaea_221304,Cucullaea labiata_142556,,phylum
MG099701,Carangaria incertae sedis_1489905,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Menidae_30852,Mene_206144,Mene maculata_206145,,class
MT527186,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Nudibranchia_70849,Arminidae_71478,Dermatobranchus_154606,Dermatobranchus otome_1504997,,phylum
KX298895,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Trochida_2315720,Tegulidae_1955470,Omphalius_81900,Omphalius nigerrimus_1906928,,phylum
MK994771,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Chamberlainia_1264660,Chamberlainia hainesiana_1264661,,phylum
AB558409,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Ceratodontiformes_2823314,Protopteridae_7884,Protopterus_7885,Protopterus aethiopicus_7886,,subphylum
JQ728447,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Solemyida_42656,Solemyidae_42657,Solemya_13267,Solemya velum_13268,,phylum
JN632509,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Ellobiida_2340871,Trimusculidae_453448,Trimusculus_453449,Trimusculus reticulatus_981059,,phylum
KP900975,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Pectinida_106218,Pectinidae_6566,Pecten_6578,Pecten maximus_6579,,phylum
OM719679,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Testudinidae_8487,Chelonoidis_904181,Chelonoidis donfaustoi_1743023,,subphylum
MZ747465,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Nudibranchia_70849,Chromodorididae_71294,Goniobranchus_1175194,Goniobranchus leopardus_262605,,phylum
MW175871,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Myida_278205,Teredinidae_114952,Dicyathifer_521372,Dicyathifer mannii_2795839,,phylum
MF683074,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Nudibranchia_70849,Chromodorididae_71294,Chromodoris_71297,Chromodoris annae_508118,,phylum
MH115428,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Strombidae_69694,Lambis_387444,Lambis lambis_387446,,phylum
KJ018924,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Lamprotula_165451,Lamprotula gottschei_1470580,,phylum
OM719686,Chelonoidis nigra species complex_1137846,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Testudinidae_8487,Chelonoidis_904181,Chelonoidis phantasticus_1129807,,subphylum
KY270857,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Bathymodiolus_12965,Bathymodiolus securiformis_268470,,phylum
MH198171,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Buccinidae_37796,Penion_128481,Penion cuvierianus_2175167,,phylum
MN864055,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Polyplacophora_6650,Lepidopleurida_120435,Nierstraszellidae_291854,Nierstraszella_291855,Nierstraszella lineata_515354,,phylum
JN020145,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Geoemydidae_328320,Cuora_72005,Cuora bourreti_241441,,subphylum
JF719809,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Trionychidae_34907,Pelochelys_129892,Pelochelys cantorii_171793,,subphylum
MT431576,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Stylommatophora_6527,Spelaeodiscidae_2939665,Virpazaria_2939666,Virpazaria ripkeni_2939667,,phylum
MT955592,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Nodularia_1830174,Nodularia douglasiae_1830228,,phylum
KR297251,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Trochida_2315720,Phasianellidae_1756886,Phasianella_335752,Phasianella solida_335754,,phylum
MH550543,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Nudibranchia_70849,Chromodorididae_71294,Chromodoris_71297,Chromodoris orientalis_499925,,phylum
EU880278,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Cardiida_2783445,Solecurtidae_282291,Sinonovacula_98309,Sinonovacula constricta_98310,,phylum
KT613185,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Testudinidae_8487,Aldabrachelys_167803,Aldabrachelys gigantea_167804,,subphylum
KY857556,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Myuchelys_904236,Myuchelys latisternum_1041116,,subphylum
KC503289,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Mactridae_6581,Mactra_120569,Mactra antiquata_2302425,,phylum
KY776453,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Elseya_44496,Elseya albagula_904184,,subphylum
GQ889364,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Geoemydidae_328320,Cuora_72005,Cuora pani_176193,,subphylum
LT599487,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Testudinidae_8487,Centrochelys_1540821,Centrochelys sulcata_1540822,,subphylum
MN635724,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Veneridae_6592,Venerupis_104386,Venerupis aspera_2784313,,phylum
JN615139,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Ellobiida_2340871,Ellobiidae_69683,Ovatella_999268,Ovatella vulcani_999270,,phylum
JX486124,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Mytilus_6548,Mytilus californianus_6549,,phylum
KY780366,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Cardiida_2783445,Donacidae_40128,Donax_40129,Donax vittatus_246755,,phylum
MT727031,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Crocodylia_1294634,Crocodylidae_8493,Crocodylus_8500,Crocodylus suchus_1314694,,subphylum
LC276228,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Pomatiopsidae_56139,Oncomelania_56140,Oncomelania hupensis_56141,,phylum
MT232845,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Volutidae_57614,Harpovoluta_2783711,Harpovoluta charcoti_2783712,,phylum
MG431821,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Mactridae_6581,Pseudocardium_81898,Pseudocardium sachalinense_81899,,phylum
MW244822,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Rostellariidae_2821814,Varicospira_2821815,Varicospira cancellata_2821816,,phylum
MT418596,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Veneridae_6592,Meretrix_74490,Meretrix lusoria_74491,,phylum
MW550293,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Muricidae_39476,Indothais_1345146,Indothais sacellum_2706818,,phylum
KX966393,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Parvasolenaia_2856489,Parvasolenaia rivularis_1491190,,phylum
MH678614,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacentridae_30863,Abudefduf_36213,Abudefduf bengalensis_229088,,class
MN171300,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Nudibranchia_70849,Chromodorididae_71294,Doriprismatica_1175191,Doriprismatica atromarginata_154629,,phylum
EU672835,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Ostreida_6562,Ostreidae_6563,Crassostrea_6564,Crassostrea ariakensis_94323,,phylum
MW550286,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Muricidae_39476,Reishia_55522,Reishia bronni_578817,,phylum
EU827199,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Volutidae_57614,Cymbium_543400,Cymbium olla_543401,,phylum
ON018802,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus ebraeus_89425,,phylum
ON649706,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Ostreida_6562,Ostreidae_6563,Saccostrea_33508,Saccostrea malabonensis_413179,,phylum
MG912815,Chelonoidis nigra species complex_1137846,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Testudinidae_8487,Chelonoidis_904181,Chelonoidis duncanensis_1137937,,subphylum
KJ472483,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Lepetellida_2315723,Haliotidae_6451,Haliotis_6452,Haliotis laevigata_36097,,phylum
MW478823,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Sepiida_551287,Sepiolidae_34531,Euprymna_6612,Euprymna berryi_153281,,phylum
KY776446,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Chelodina_44490,Chelodina novaeguineae_200900,,subphylum
HQ641406,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Sinohyriopsis_2706149,Sinohyriopsis schlegelii_2706150,,phylum
AP006858,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Coelacanthiformes_7894,Coelacanthidae_7895,Latimeria_7896,Latimeria menadoensis_106881,,subphylum
MW646295,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Cyrenidae_1176409,Corbicula_45948,Corbicula leana_61343,,phylum
KY776434,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Elseya_44496,Elseya branderhorsti_904186,,subphylum
KY200976,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Architaenioglossa_75116,Viviparidae_54976,Margarya_888542,Margarya oxytropoides_888541,,phylum
LC592410,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Beringiana_2706139,Beringiana fukuharai_2706142,,phylum
MW478822,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Sepiida_551287,Sepiolidae_34531,Heteroteuthis_55277,Heteroteuthis dagamensis_1842503,,phylum
AP006016,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacentridae_30863,Abudefduf_36213,Abudefduf vaigiensis_192871,,class
AB979273,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacentridae_30863,Amphiprion_80969,Amphiprion akallopisos_229067,,class
KJ144818,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Lanceolaria_120562,Lanceolaria lanceolata_2508263,,phylum
MW143047,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Ostreida_6562,Ostreidae_6563,Alectryonella_74436,Alectryonella plicatula_74437,,phylum
AB535192,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,,Potamididae_6470,Cerithidea_6471,Cerithidea djadjariensis_334428,,phylum
MT043269,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Ranellidae_69569,Charonia_500096,Charonia tritonis_1960912,,phylum
KP769562,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Ostreida_6562,Ostreidae_6563,Saccostrea_33508,Saccostrea mordax_157729,,phylum
KP218258,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacanthidae_30862,Pomacanthus_51797,Pomacanthus xanthometopon_109715,,class
EU145977,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Veneridae_6592,Meretrix_74490,Meretrix petechialis_311198,,phylum
KX298894,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Trochida_2315720,Trochidae_6466,Stomatella_315779,Stomatella planulata_529752,,phylum
MW550294,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Muricidae_39476,Mancinella_55858,Mancinella alouina_1079935,,phylum
GQ903339,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Veneridae_6592,Meretrix_74490,Meretrix lusoria_74491,,phylum
KC692463,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Pelomedusidae_44515,Pelusios_44525,Pelusios castaneus_367368,,subphylum
MT727008,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Crocodylia_1294634,Crocodylidae_8493,Crocodylus_8500,Crocodylus suchus_1314694,,subphylum
MN449487,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Geukensia_27806,Geukensia demissa_27807,,phylum
KY679832,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Architaenioglossa_75116,Viviparidae_54976,Sinotaia_200190,Sinotaia aeruginosa_2653872,,phylum
LC276221,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Pomatiopsidae_56139,Oncomelania_56140,Oncomelania hupensis_56141,,phylum
KY776441,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Emydura_44499,Emydura macquarii_90392,,subphylum
JX454985,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Cheloniidae_8465,Chelonia_8468,Chelonia mydas_8469,,subphylum
KY776442,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Emydura_44499,Emydura macquarii_90392,,subphylum
KY864970,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus ateralbus_289019,,phylum
HM488008,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Crocodylia_1294634,Crocodylidae_8493,Crocodylus_8500,Crocodylus johnsoni_184234,,subphylum
JF284698,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Pomatiopsidae_56139,Oncomelania_56140,Oncomelania hupensis_56141,,phylum
JF969277,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Veneridae_6592,Paratapes_2602927,Paratapes textilis_990946,,phylum
JN398365,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Cardiida_2783445,Semelidae_121179,Semele_457823,Semele scabra_1125679,,phylum
MG431965,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,,Planorbidae_6524,Biomphalaria_6525,Biomphalaria glabrata_6526,,phylum
KP954700,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Arcoida_6552,Arcidae_6553,Anadara_6554,Anadara vellicata_935000,,phylum
MG979458,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Tateidae_1345660,Potamopyrgus_145636,Potamopyrgus antipodarum_145637,,phylum
MT360647,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Lepetellida_2315723,Pseudococculinidae_69672,Notocrater_69673,Notocrater youngi_2813390,,phylum
MT180322,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Octopoda_6638,Octopodidae_6647,Amphioctopus_505395,Amphioctopus fangsiao_515817,,phylum
MG099702,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Muricidae_39476,Indothais_1345146,Indothais lacera_1345147,,phylum
AF039066,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Pelomedusidae_44515,Pelomedusa_44521,Pelomedusa subrufa_44522,,subphylum
MZ264859,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Octopoda_6638,Octopodidae_6647,Macrotritopus_2447875,Macrotritopus defilippi_2447876,,phylum
MW478845,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Sepiida_551287,Sepiolidae_34531,Euprymna_6612,Euprymna scolopes_6613,,phylum
AB099484,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Mammalia_40674,,Tenrecidae_9369,Echinops_9370,Echinops telfairi_9371,,class
AY823625,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Mytilus_6548,Mytilus trossulus_6551,,phylum
OM719676,Chelonoidis nigra species complex_1137846,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Testudinidae_8487,Chelonoidis_904181,Chelonoidis guntheri_2203395,,subphylum
JN564796,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,,Lymnaeidae_6521,Galba_401861,Galba pervia_1051332,,phylum
DQ991935,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Cephalaspidea_69554,Aglajidae_195876,Odontoglaja_259594,Odontoglaja guamensis_259595,,phylum
FJ605488,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Lepetellida_2315723,Haliotidae_6451,Haliotis_6452,Haliotis tuberculata_36103,,phylum
MN864056,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Polyplacophora_6650,Lepidopleurida_120435,Lepidopleuridae_120436,Leptochiton_256090,Leptochiton nexus_2719131,,phylum
MW662605,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Veneridae_6592,Venus_55714,Venus verrucosa_55715,,phylum
MW646291,Cyprinoidei intergeneric hybrids_564289,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,Cypriniformes_7952,,,Pungtungia herzi x Pseudorasbora parva_1616774,,order
GU071281,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Veneridae_6592,Meretrix_74490,Meretrix lamarckii_157363,,phylum
KX757020,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Octopoda_6638,Octopodidae_6647,Callistoctopus_505396,Callistoctopus luteus_102869,,phylum
MH290879,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Vesicomyidae_6588,Ectenagena_62880,Ectenagena elongata_1885249,,phylum
MK500872,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Naticidae_208830,Notocochlis_488667,Notocochlis gualtieriana_2671062,,phylum
KF927167,Cyprinoidei intergeneric hybrids_564289,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,Cypriniformes_7952,,,Megalobrama amblycephala x Parabramis pekinensis_1458563,,order
KR051264,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Teuthida_551290,Loliginidae_6615,Uroteuthis_55719,Uroteuthis duvaucelii_78425,,phylum
MZ411565,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacanthidae_30862,Apolemichthys_109716,Apolemichthys trimaculatus_109717,,class
DQ533485,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Cheloniidae_8465,Eretmochelys_27786,Eretmochelys imbricata_27787,,subphylum
HM447585,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Moronidae_42148,Morone_34815,Morone saxatilis_34816,,class
MK559362,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Pleurotomariida_2315725,Pleurotomariidae_55844,Perotrochus_55845,Perotrochus quoyanus_160002,,phylum
