,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species,subtree,subtree_rank
KY213963,Carangaria incertae sedis_1489905,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Centropomidae_8184,Lates_8186,Lates niloticus_29147,,class
KJ855256,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Ostreida_6562,Ostreidae_6563,Crassostrea_6564,Crassostrea sikamea_94324,,phylum
JF284691,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Pomatiopsidae_56139,Oncomelania_56140,Oncomelania hupensis_56141,,phylum
AP006007,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Pomacanthidae_30862,Chaetodontoplus_109720,Chaetodontoplus septentrionalis_215363,,class
HQ172156,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Chelus_44494,Chelus fimbriata_44495,,subphylum
KC503291,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Mactridae_6581,Mactra_120569,Mactra antiquata_2302425,,phylum
KU738606,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Sciaenidae_30870,Nibea_215359,Nibea miichthioides_341088,,class
MG677546,Eupercaria incertae sedis_1489923,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Siganidae_75382,Siganus_75041,Siganus sutor_439892,,class
MT919641,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Nudibranchia_70849,Chromodorididae_71294,Cadlina_71295,Cadlina umiushi_2714534,,phylum
MW662606,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Venerida_6580,Veneridae_6592,Venus_55714,Venus verrucosa_55715,,phylum
MW559976,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Nudibranchia_70849,Asteronotidae_204771,Asteronotus_204755,Asteronotus hepaticus_2676872,,phylum
MF029677,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Octopoda_6638,Octopodidae_6647,Octopus_6643,Octopus variabilis_158018,,phylum
MT554037,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Crocodylia_1294634,Crocodylidae_8493,Crocodylus_8500,Crocodylus johnsoni_184234,,subphylum
MG827217,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Buccinidae_37796,Neptunea_57632,Neptunea subdilatata_620512,,phylum
KY705234,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Chelodina_44490,Chelodina oblonga_44492,,subphylum
MW478828,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Sepiida_551287,Sepiolidae_34531,Heteroteuthis_55277,Heteroteuthis hawaiiensis_61676,,phylum
KY801853,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus hybridus_1519831,,phylum
KY290450,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Unio_55836,Unio crassus_143297,,phylum
AY771781,Cyprinoidei intergeneric hybrids_564289,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,Cypriniformes_7952,,,Carassius auratus x Cyprinus carpio x Carassius cuvieri_211491,,order
MH122656,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Strombidae_69694,Harpago_2705404,Harpago chiragra_387445,,phylum
KY853669,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Strombidae_69694,Conomurex_1273205,Conomurex luhuanus_69696,,phylum
KU925349,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Mytilus_6548,Mytilus trossulus_6551,,phylum
ON464163,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Brachidontes_40253,Brachidontes pharaonis_205971,,phylum
MF491603,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Conus_6490,Conus decoratus_308470,,phylum
KY924930,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,,Testudines_8459,Chelidae_8461,Myuchelys_904236,Myuchelys bellii_904237,,subphylum
MT240807,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Neogastropoda_6479,Conidae_6489,Varioconus_1340132,Varioconus echinophilus_1443311,,phylum
MW322824,Ovalentaria incertae sedis_1489909,Eukaryota_2759,Metazoa_33208,Chordata_7711,Craniata_89593,Actinopteri_186623,,Ambassidae_205120,Parambassis_210631,Parambassis ranga_210632,,class
JQ390526,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,,Physidae_109669,Physella_175859,Physella acuta_109671,,phylum
FJ890849,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Mytilida_6546,Mytilidae_6547,Mytilus_6548,Mytilus galloprovincialis_29158,,phylum
KY205709,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Trochida_2315720,Tegulidae_1955470,Tectus_500101,Tectus virgatus_1980019,,phylum
MW242812,Unionidae incertae sedis_2865763,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Bivalvia_6544,Unionida_47521,Unionidae_47526,Contradens_349744,Contradens contradens_349745,,phylum
JQ417196,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Stylommatophora_6527,Helicidae_6533,Cornu_2749756,Cornu aspersum_6535,,phylum
KU952093,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Gastropoda_6448,Littorinimorpha_216294,Littorinidae_31212,Littorina_31213,Littorina obtusata_31218,,phylum
MW478843,cellular_organisms_131567,Eukaryota_2759,Metazoa_33208,Mollusca_6447,,Cephalopoda_6605,Sepiida_551287,Sepiolidae_34531,Sepiola_34536,Sepiola robusta_70197,,phylum
