,norank,superkingdom,kingdom,phylum,subphylum,class,order,family,genus,species
MG680941,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Cryptophyceae_3027,Pyrenomonadales_589342,Chroomonadaceae_589345,Chroomonas_3028,Chroomonas placoidea_173977
KT276514,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum spinuligerum_613101
AF538053,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Choanoflagellata_28009,Craspedida_1924738,Salpingoecidae_81529,Monosiga_81525,Monosiga brevicollis_81824
MW485978,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum plagiophyllum_1436148
MK965907,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Lessoniaceae_35120,Lessonia_105411,Lessonia spicata_1899210
KX073816,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Saccharina_309357,Saccharina japonica_88149
KC573039,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Rotosphaerida_2686024,Nucleariidae_154966,Nuclearia_154967,Nuclearia simplex_154970
KC353356,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,,Jakobida_556282,Histionidae_556285,Reclinomonas_48482,Reclinomonas americana_48483
AP011495,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Saccharina_309357,Saccharina ochotensis_416842
MZ156065,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Ralfsiales_891380,Ralfsiaceae_31334,Analipus_31332,Analipus japonicus_31333
MZ156049,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Laminariales_2886,Laminariaceae_33636,Arthrothamnus_169777,Arthrothamnus bifidus_169778
MG488292,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Ectocarpales_2877,Chordariaceae_66220,Cladosiphon_309736,Cladosiphon okamuranus_309737
MT740313,cellular_organisms_131567,Eukaryota_2759,,no_phylum,,Phaeophyceae_2870,Fucales_3009,Sargassaceae_3014,Sargassum_3015,Sargassum patens_127551
